,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Oranjestad,40,AW,2019-09-29,79,12.52,-70.03,84.2,13.87
1,Sitka,15,US,2019-09-29,91,37.17,-99.65,72.0,13.0
2,Punta Arenas,75,CL,2019-09-29,77,-53.16,-70.91,35.6,9.17
3,Barrow,0,AR,2019-09-29,72,-38.31,-60.23,63.23,13.06
4,Chokurdakh,95,RU,2019-09-29,97,70.62,147.9,27.59,5.64
5,Marawi,100,PH,2019-09-29,91,8.0,124.29,75.0,4.0
6,Puerto Narino,75,CO,2019-09-29,100,-3.77,-70.38,75.2,4.7
7,Ostrovnoy,100,RU,2019-09-29,84,68.05,39.51,45.77,17.72
8,Ribeira Grande,75,PT,2019-09-29,94,38.52,-28.7,71.6,12.75
9,Marabba,33,SD,2019-09-29,29,12.35,32.18,98.51,10.87
10,Lorengau,43,PG,2019-09-29,78,-2.02,147.27,78.89,2.51
11,Vaini,20,IN,2019-09-29,69,15.34,74.49,84.2,4.7
12,Rikitea,38,PF,2019-09-29,78,-23.12,-134.97,71.33,10.51
13,Bulgan,47,MN,2019-09-29,60,48.81,103.53,51.53,4.38
14,Kiunga,84,PG,2019-09-29,98,-6.12,141.3,73.67,3.96
15,Klaksvik,100,FO,2019-09-29,81,62.23,-6.59,50.0,11.41
16,Kingaroy,15,AU,2019-09-29,48,-26.54,151.84,68.0,2.24
17,Saskylakh,1,RU,2019-09-29,88,71.97,114.09,22.91,1.01
18,San Policarpo,100,PH,2019-09-29,84,12.18,125.51,81.41,6.42
19,Payakumbuh,99,ID,2019-09-29,94,-0.23,100.63,69.17,1.39
20,Port Lincoln,56,AU,2019-09-29,75,-34.72,135.86,55.49,19.6
21,Tuktoyaktuk,0,CA,2019-09-29,72,69.44,-133.03,37.31,11.56
22,Porkhov,75,RU,2019-09-29,82,57.77,29.55,57.2,6.71
23,Coihaique,90,CL,2019-09-29,65,-45.58,-72.07,41.0,6.93
24,Moratuwa,100,LK,2019-09-29,71,6.77,79.88,81.95,4.0
25,Albany,75,US,2019-09-29,67,42.65,-73.75,64.0,8.05
26,New Norfolk,75,AU,2019-09-29,61,-42.78,147.06,46.4,12.75
27,Gigmoto,100,PH,2019-09-29,74,13.78,124.39,83.57,18.01
28,Pouebo,74,NC,2019-09-29,86,-20.4,164.57,66.47,2.17
29,Sao Jose da Coroa Grande,68,BR,2019-09-29,68,-8.9,-35.15,77.45,7.54
30,Lazaro Cardenas,8,MX,2019-09-29,77,28.39,-105.62,64.0,4.14
31,Yellowknife,40,CA,2019-09-29,64,62.45,-114.38,37.4,3.36
32,Mataura,86,NZ,2019-09-29,75,-46.19,168.86,50.0,3.0
33,Dingle,81,PH,2019-09-29,81,11.0,122.67,75.29,3.27
34,Fairbanks,90,US,2019-09-29,62,64.84,-147.72,44.01,8.05
35,Acapulco,100,MX,2019-09-29,97,16.86,-99.88,74.57,8.66
36,Joshimath,62,IN,2019-09-29,93,30.57,79.57,52.43,2.01
37,Nelson Bay,5,AU,2019-09-29,82,-32.72,152.14,63.0,6.93
38,Coquimbo,90,CL,2019-09-29,87,-29.95,-71.34,53.6,6.93
39,Bredasdorp,100,ZA,2019-09-29,72,-34.53,20.04,60.8,11.41
40,Jamestown,50,AU,2019-09-29,89,-33.21,138.6,48.11,5.68
41,Atuona,13,PF,2019-09-29,79,-9.8,-139.03,79.07,14.72
42,Saint-Augustin,20,CA,2019-09-29,81,45.63,-73.98,51.01,5.82
43,Cedar City,40,US,2019-09-29,66,37.68,-113.06,53.6,23.04
44,Manadhoo,100,MV,2019-09-29,64,5.77,73.38,80.87,2.93
45,Pisco,90,PE,2019-09-29,30,-13.71,-76.2,71.6,3.36
46,Castro,0,CL,2019-09-29,87,-42.48,-73.76,44.6,8.05
47,Chuy,4,UY,2019-09-29,83,-33.69,-53.46,59.81,8.84
48,Norsup,0,VU,2019-09-29,94,-16.07,167.38,77.0,8.05
49,Bluff,58,AU,2019-09-29,45,-23.58,149.07,72.77,6.02
50,Dondo,0,MZ,2019-09-29,30,-19.62,34.74,84.2,16.11
51,Zyryanka,100,RU,2019-09-29,76,65.73,150.89,29.03,8.68
52,Sorland,75,NO,2019-09-29,86,67.67,12.69,41.0,3.36
53,Sapernoye,96,RU,2019-09-29,85,60.72,29.95,53.01,6.15
54,Klyuchevskiy,26,RU,2019-09-29,81,53.53,119.45,38.39,4.43
55,Coihueco,90,CL,2019-09-29,100,-36.63,-71.83,55.0,2.24
56,Busselton,0,AU,2019-09-29,55,-33.64,115.35,64.99,9.28
57,Cherskiy,100,RU,2019-09-29,80,68.75,161.3,31.73,6.93
58,Faanui,28,PF,2019-09-29,84,-16.48,-151.75,77.81,20.02
59,Colares,20,PT,2019-09-29,64,38.8,-9.45,77.0,14.99
60,Tignere,100,CM,2019-09-29,76,7.37,12.65,76.91,5.21
61,Maltahohe,0,NA,2019-09-29,19,-24.83,16.98,73.85,21.88
62,Mar del Plata,0,AR,2019-09-29,34,-46.43,-67.52,46.49,35.72
63,Saint-Philippe,1,CA,2019-09-29,71,45.36,-73.48,51.01,3.36
